iter	Passed	Remaining
0	140	140099
1	141	70526
2	142	47335
3	143	35704
4	144	28725
5	145	24094
6	146	20791
7	147	18316
8	148	16386
9	151	14992
10	152	13753
11	154	12694
12	155	11797
13	156	11012
14	157	10342
15	159	9800
16	160	9279
17	161	8816
18	162	8399
19	166	8161
20	167	7816
21	168	7509
22	170	7224
23	171	6968
24	172	6721
25	173	6496
26	174	6293
27	175	6101
28	176	5925
29	178	5774
30	180	5637
31	181	5493
32	182	5360
33	184	5234
34	185	5115
35	186	4999
36	187	4891
37	189	4790
38	190	4688
39	191	4594
40	193	4522
41	194	4439
42	195	4354
43	196	4274
44	197	4201
45	199	4127
46	200	4059
47	201	3993
48	202	3928
49	203	3868
50	204	3812
51	207	3781
52	208	3728
53	209	3677
54	211	3627
55	212	3578
56	213	3533
57	214	3489
58	215	3444
59	217	3399
60	218	3357
61	219	3315
62	220	3282
63	222	3247
64	223	3209
65	224	3173
66	225	3136
67	226	3104
68	227	3073
69	228	3040
70	230	3009
71	231	2981
72	232	2952
73	233	2924
74	235	2902
75	237	2887
76	238	2860
77	240	2838
78	241	2812
79	242	2788
80	243	2764
81	245	2743
82	245	2714
83	247	2693
84	248	2673
85	249	2656
86	251	2637
87	252	2617
88	253	2595
89	254	2576
90	256	2560
91	257	2541
92	258	2522
93	259	2503
94	260	2484
95	261	2465
96	263	2454
97	266	2454
98	267	2436
99	269	2423
100	270	2406
101	271	2390
102	272	2375
103	274	2362
104	275	2347
105	276	2331
106	278	2327
107	280	2319
108	282	2306
109	283	2292
110	284	2278
111	285	2264
112	287	2258
113	288	2245
114	290	2233
115	294	2241
116	296	2240
117	298	2228
118	299	2215
119	300	2203
120	301	2193
121	303	2180
122	304	2169
123	305	2157
124	308	2159
125	311	2160
126	312	2150
127	313	2138
128	315	2128
129	316	2117
130	317	2106
131	318	2096
132	321	2098
133	324	2097
134	326	2088
135	327	2080
136	329	2073
137	330	2063
138	331	2052
139	332	2042
140	336	2052
141	337	2041
142	339	2033
143	340	2024
144	341	2015
145	343	2006
146	344	1997
147	345	1987
148	346	1977
149	347	1968
150	352	1979
151	354	1979
152	355	1970
153	357	1961
154	358	1956
155	360	1949
156	361	1939
157	362	1931
158	366	1937
159	369	1938
160	370	1928
161	371	1919
162	372	1912
163	373	1903
164	374	1895
165	375	1886
166	376	1879
167	380	1884
168	382	1882
169	384	1875
170	385	1868
171	386	1862
172	387	1853
173	388	1845
174	389	1838
175	392	1835
176	395	1839
177	397	1836
178	398	1829
179	400	1822
180	401	1815
181	402	1808
182	403	1803
183	404	1795
184	408	1798
185	410	1798
186	412	1791
187	413	1784
188	414	1777
189	415	1770
190	416	1763
191	417	1755
192	418	1749
193	419	1743
194	422	1743
195	424	1741
196	426	1736
197	427	1730
198	428	1724
199	429	1719
200	430	1712
201	431	1706
202	432	1699
203	435	1697
204	437	1697
205	439	1694
206	440	1688
207	442	1684
208	443	1680
209	445	1675
210	446	1668
211	448	1666
212	451	1666
213	453	1664
214	454	1659
215	455	1654
216	457	1649
217	458	1643
218	459	1637
219	460	1631
220	461	1625
221	464	1629
222	467	1627
223	468	1622
224	469	1616
225	470	1612
226	471	1606
227	472	1601
228	474	1596
229	475	1590
230	477	1588
231	479	1586
232	482	1587
233	483	1582
234	484	1578
235	486	1573
236	487	1568
237	488	1563
238	489	1558
239	493	1562
240	496	1563
241	497	1558
242	498	1553
243	499	1548
244	500	1543
245	501	1538
246	503	1533
247	504	1529
248	507	1529
249	509	1527
250	511	1525
251	512	1521
252	513	1516
253	514	1512
254	516	1507
255	517	1502
256	518	1498
257	521	1500
258	523	1497
259	542	1544
260	543	1539
261	545	1535
262	546	1530
263	547	1526
264	548	1521
265	549	1517
266	552	1517
267	555	1518
268	557	1513
269	558	1510
270	559	1505
271	560	1501
272	562	1496
273	563	1491
274	564	1487
275	566	1486
276	568	1485
277	571	1483
278	572	1478
279	573	1474
280	574	1469
281	575	1466
282	576	1461
283	578	1458
284	581	1459
285	584	1459
286	585	1454
287	586	1450
288	588	1446
289	589	1442
290	590	1438
291	591	1433
292	592	1429
293	594	1426
294	596	1425
295	598	1424
296	599	1419
297	600	1415
298	602	1411
299	603	1407
300	604	1403
301	605	1399
302	606	1395
303	607	1391
304	611	1392
305	613	1390
306	614	1386
307	615	1383
308	616	1379
309	617	1375
310	619	1371
311	620	1367
312	623	1368
313	626	1368
314	627	1365
315	629	1362
316	630	1359
317	632	1355
318	633	1351
319	634	1347
320	636	1346
321	638	1344
322	640	1342
323	641	1339
324	643	1335
325	643	1331
326	645	1327
327	646	1323
328	647	1320
329	652	1323
330	653	1320
331	655	1319
332	657	1316
333	658	1313
334	660	1310
335	661	1306
336	662	1303
337	666	1306
338	669	1305
339	670	1302
340	671	1298
341	673	1295
342	674	1292
343	676	1289
344	678	1288
345	681	1287
346	684	1288
347	688	1289
348	689	1285
349	690	1283
350	693	1281
351	695	1280
352	697	1277
353	700	1278
354	701	1274
355	702	1271
356	704	1268
357	705	1264
358	707	1262
359	709	1260
360	713	1263
361	714	1259
362	716	1256
363	717	1254
364	719	1250
365	722	1250
366	724	1250
367	728	1250
368	729	1247
369	730	1244
370	731	1240
371	732	1236
372	733	1233
373	734	1229
374	736	1227
375	738	1226
376	741	1225
377	742	1222
378	743	1218
379	744	1214
380	745	1211
381	746	1208
382	747	1204
383	748	1201
384	751	1200
385	753	1198
386	756	1197
387	757	1194
388	758	1190
389	759	1187
390	760	1184
391	761	1180
392	762	1177
393	763	1174
394	765	1173
395	767	1170
396	770	1169
397	771	1166
398	772	1163
399	773	1160
400	774	1156
401	775	1153
402	776	1150
403	777	1146
404	778	1143
405	781	1144
406	783	1141
407	785	1139
408	786	1136
